"journal","discipline","fullTitle"
"J Biosci","Biochemistry","Journal of biosciences"
"J Biosci Bioeng","Biomedical Engineering","Journal of bioscience and bioengineering"
"J Biosoc Sci","Social Sciences","Journal of biosocial science"
"J Biotechnol","Biotechnology","Journal of biotechnology"
"J Bodyw Mov Ther","Physical and Rehabilitation Medicine","Journal of bodywork and movement therapies"
"J Bone Joint Surg Am","General Surgery","The Journal of bone and joint surgery. American volume"
"J Bone Miner Metab","Metabolism","Journal of bone and mineral metabolism"
"J Bone Miner Res","Medicine","Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research"
"J Br Menopause Soc","Gynecology","The journal of the British Menopause Society"
"J Bras Nefrol","Nephrology","Jornal brasileiro de nefrologia : ʹorgão oficial de Sociedades Brasileira e Latino-Americana de Nefrologia"
"J Bras Pneumol","Pulmonary Medicine","Jornal brasileiro de pneumologia : publicaça̋o oficial da Sociedade Brasileira de Pneumologia e Tisilogia"
"J Breath Res","Pulmonary Medicine","Journal of breath research"
"J Bronchology Interv Pulmonol","Pulmonary Medicine","Journal of bronchology &interventional pulmonology"
"J BUON","Neoplasms","Journal of B.U.ON. : official journal of the Balkan Union of Oncology"
"J Burn Care Rehabil","Medicine","The Journal of burn care &rehabilitation"
"J Burn Care Res","Traumatology","Journal of burn care &research : official publication of the American Burn Association"
"J Bus Contin Emer Plan","Unclassified","Journal of business continuity &emergency planning"
"J Calif Dent Assoc","Dentistry","Journal - California Dental Association"
"J Calif Dent Assoc","Dentistry","Journal of the California Dental Association"
"J Can Dent Assoc","Dentistry","Journal (Canadian Dental Association)"
"J Cancer Educ","Neoplasms","Journal of cancer education : the official journal of the American Association for Cancer Education"
"J Cancer Res Clin Oncol","Neoplasms","Journal of cancer research and clinical oncology"
"J Cancer Res Ther","Neoplasms","Journal of cancer research and therapeutics"
"J Cancer Surviv","Neoplasms","Journal of cancer survivorship : research and practice"
"J Card Fail","Cardiology","Journal of cardiac failure"
"J Card Surg","General Surgery","Journal of cardiac surgery"
"J Cardiol","Cardiology","Journal of cardiology"
"J Cardiometab Syndr","Cardiology","Journal of the cardiometabolic syndrome"
"J Cardiopulm Rehabil","Cardiology","Journal of cardiopulmonary rehabilitation"
"J Cardiopulm Rehabil Prev","Cardiology","Journal of cardiopulmonary rehabilitation and prevention"
"J Cardiothorac Surg","General Surgery","Journal of cardiothoracic surgery"
"J Cardiothorac Vasc Anesth","Cardiology","Journal of cardiothoracic and vascular anesthesia"
"J Cardiovasc Comput Tomogr","Cardiology","Journal of cardiovascular computed tomography"
"J Cardiovasc Electrophysiol","Cardiology","Journal of cardiovascular electrophysiology"
"J Cardiovasc Magn Reson","Cardiology","Journal of cardiovascular magnetic resonance : official journal of the Society for Cardiovascular Magnetic Resonance"
"J Cardiovasc Med (Hagerstown)","Medicine","Journal of cardiovascular medicine (Hagerstown, Md.)"
"J Cardiovasc Nurs","Cardiology","The Journal of cardiovascular nursing"
"J Cardiovasc Pharmacol","Pharmacology","Journal of cardiovascular pharmacology"
"J Cardiovasc Pharmacol Ther","Pharmacology","Journal of cardiovascular pharmacology and therapeutics"
"J Cardiovasc Transl Res","Cardiology","Journal of cardiovascular translational research"
"J Cataract Refract Surg","General Surgery","Journal of cataract and refractive surgery"
"J Cell Biochem","Cell Biology","Journal of cellular biochemistry"
"J Cell Biol","Cell Biology","The Journal of cell biology"
"J Cell Mol Med","Medicine","Journal of cellular and molecular medicine"
"J Cell Physiol","Physiology","Journal of cellular physiology"
"J Cell Sci","Cell Biology","Journal of cell science"
"J Cereb Blood Flow Metab","Brain","Journal of cerebral blood flow and metabolism : official journal of the International Society of Cerebral Blood Flow and Metabolism"
"J Chem Ecol","Chemistry","Journal of chemical ecology"
"J Chem Inf Comput Sci","Chemistry","Journal of chemical information and computer sciences"
"J Chem Inf Model","Chemistry","Journal of chemical information and modeling"
"J Chem Neuroanat","Neurology","Journal of chemical neuroanatomy"
"J Chem Phys","Chemistry","The Journal of chemical physics"
"J Chem Theory Comput","Chemistry","Journal of chemical theory and computation"
"J Chemother","Drug Therapy","Journal of chemotherapy (Florence, Italy)"
"J Child Adolesc Ment Health","Psychology","Journal of child and adolescent mental health"
"J Child Adolesc Psychiatr Nurs","Psychiatry","Journal of child and adolescent psychiatric nursing : official publication of the Association of Child and Adolescent Psychiatric Nurses, Inc"
"J Child Adolesc Psychopharmacol","Psychopharmacology","Journal of child and adolescent psychopharmacology"
"J Child Health Care","Medicine","Journal of child health care : for professionals working with children in the hospital and community"
"J Child Lang","Psychology","Journal of child language"
"J Child Neurol","Neurology","Journal of child neurology"
"J Child Psychol Psychiatry","Psychiatry","Journal of child psychology and psychiatry, and allied disciplines"
"J Child Sex Abus","Unclassified","Journal of child sexual abuse"
"J Chin Med Assoc","Medicine","Journal of the Chinese Medical Association : JCMA"
"J Christ Nurs","Nursing","Journal of Christian nursing : a quarterly publication of Nurses Christian Fellowship"
"J Chromatogr","Chemistry Techniques, Analytical","Journal of chromatography. "
"J Chromatogr B Analyt Technol Biomed Life Sci","Medicine","Journal of chromatography. B, Analytical technologies in the biomedical and life sciences"
"J Chromatogr Sci","Chemistry Techniques, Analytical","Journal of chromatographic science"
"J Clin Anesth","Anesthesiology","Journal of clinical anesthesia"
"J Clin Apher","Hematology","Journal of clinical apheresis"
"J Clin Child Adolesc Psychol","Psychology","Journal of clinical child and adolescent psychology : the official journal for the Society of Clinical Child and Adolescent Psychology, American Psychological Association, Division 53"
"J Clin Densitom","Medicine","Journal of clinical densitometry : the official journal of the International Society for Clinical Densitometry"
"J Clin Dent","Dentistry","The Journal of clinical dentistry"
"J Clin Endocrinol Metab","Metabolism","The Journal of clinical endocrinology and metabolism"
"J Clin Epidemiol","Epidemiology","Journal of clinical epidemiology"
"J Clin Ethics","Ethics","The Journal of clinical ethics"
"J Clin Exp Hematop","Medicine","Journal of clinical and experimental hematopathology : JCEH"
"J Clin Exp Neuropsychol","Neurology","Journal of clinical and experimental neuropsychology"
"J Clin Forensic Med","Medicine","Journal of clinical forensic medicine"
"J Clin Gastroenterol","Gastroenterology","Journal of clinical gastroenterology"
"J Clin Hypertens (Greenwich)","Vascular Diseases","Journal of clinical hypertension (Greenwich, Conn.)"
"J Clin Immunol","Immunology","Journal of clinical immunology"
"J Clin Invest","Medicine","The Journal of clinical investigation"
"J Clin Lab Anal","Clinical Laboratory Techniques","Journal of clinical laboratory analysis"
"J Clin Lipidol","Medicine","Journal of clinical lipidology"
"J Clin Microbiol","Microbiology","Journal of clinical microbiology"
"J Clin Monit Comput","Medicine","Journal of clinical monitoring and computing"
"J Clin Neuromuscul Dis","Neurology","Journal of clinical neuromuscular disease"
"J Clin Neurophysiol","Neurology","Journal of clinical neurophysiology : official publication of the American Electroencephalographic Society"
"J Clin Neurosci","Neurology","Journal of clinical neuroscience : official journal of the Neurosurgical Society of Australasia"
"J Clin Nurs","Nursing","Journal of clinical nursing"
"J Clin Oncol","Neoplasms","Journal of clinical oncology : official journal of the American Society of Clinical Oncology"
"J Clin Orthod","Dentistry","Journal of clinical orthodontics : JCO"
"J Clin Pathol","Pathology","Journal of clinical pathology"
"J Clin Pediatr Dent","Pediatrics","The Journal of clinical pediatric dentistry"
"J Clin Periodontol","Dentistry","Journal of clinical periodontology"
"J Clin Pharmacol","Pharmacology","Journal of clinical pharmacology"
"J Clin Psychiatry","Psychiatry","The Journal of clinical psychiatry"
"J Clin Psychol","Psychology","Journal of clinical psychology"
"J Clin Psychol Med Settings","Medicine","Journal of clinical psychology in medical settings"
"J Clin Psychopharmacol","Psychopharmacology","Journal of clinical psychopharmacology"
"J Clin Res Pediatr Endocrinol","Pediatrics","Journal of clinical research in pediatric endocrinology"
"J Clin Rheumatol","Medicine","Journal of clinical rheumatology : practical reports on rheumatic &musculoskeletal diseases"
"J Clin Sleep Med","Medicine","Journal of clinical sleep medicine : JCSM : official publication of the American Academy of Sleep Medicine"
"J Clin Ultrasound","Diagnostic Imaging","Journal of clinical ultrasound : JCU"
"J Clin Virol","Virology","Journal of clinical virology : the official publication of the Pan American Society for Clinical Virology"
"J Cogn Neurosci","Neurology","Journal of cognitive neuroscience"
"J Coll Physicians Surg Pak","General Surgery","Journal of the College of Physicians and Surgeons--Pakistan : JCPSP"
"J Colloid Interface Sci","Chemistry","Journal of colloid and interface science"
"J Comb Chem","Chemistry","Journal of combinatorial chemistry"
"J Commun Dis","Communicable Diseases","The Journal of communicable diseases"
"J Commun Disord","Medicine","Journal of communication disorders"
"J Community Health","Public Health","Journal of community health"
"J Community Health Nurs","Nursing","Journal of community health nursing"
"J Community Support Oncol","Neoplasms","The Journal of community and supportive oncology"
"J Comp Eff Res","Health Services Research","Journal of comparative effectiveness research"
"J Comp Neurol","Neurology","The Journal of comparative neurology"
"J Comp Physiol A Neuroethol Sens Neural Behav Physiol","Physiology","Journal of comparative physiology. A, Neuroethology, sensory, neural, and behavioral physiology"
"J Comp Psychol","Psychology","Journal of comparative psychology"
"J Comp Psychol","Psychology","Journal of comparative psychology (Washington, D.C. : 1983)"
"J Complement Integr Med","Medicine","Journal of complementary &integrative medicine"
"J Comput Aided Mol Des","Molecular Biology","Journal of computer-aided molecular design"
"J Comput Assist Tomogr","Radiology","Journal of computer assisted tomography"
"J Comput Biol","Computational Biology","Journal of computational biology : a journal of computational molecular cell biology"
"J Comput Chem","Chemistry","Journal of computational chemistry"
"J Comput Neurosci","Neurology","Journal of computational neuroscience"
"J Consult Clin Psychol","Psychology","Journal of consulting and clinical psychology"
"J Contam Hydrol","Toxicology","Journal of contaminant hydrology"
"J Contemp Dent Pract","Dentistry","The journal of contemporary dental practice"
"J Contemp Health Law Policy","Jurisprudence","The Journal of contemporary health law and policy"
"J Contin Educ Health Prof","Medicine","The Journal of continuing education in the health professions"
"J Contin Educ Nurs","Nursing","Journal of continuing education in nursing"
"J Control Release","Pharmacology","Journal of controlled release : official journal of the Controlled Release Society"
"J Correct Health Care","Health Services","Journal of correctional health care : the official journal of the National Commission on Correctional Health Care"
"J Cosmet Dermatol","Dermatology","Journal of cosmetic dermatology"
"J Cosmet Laser Ther","Dermatology","Journal of cosmetic and laser therapy : official publication of the European Society for Laser Dermatology"
"J Cosmet Sci","Chemistry","Journal of cosmetic science"
"J Couns Psychol","Psychology","Journal of counseling psychology"
"J Craniofac Surg","General Surgery","The Journal of craniofacial surgery"
"J Craniomaxillofac Surg","General Surgery","Journal of cranio-maxillo-facial surgery : official publication of the European Association for Cranio-Maxillo-Facial Surgery"
"J Crit Care","Critical Care","Journal of critical care"
"J Crohns Colitis","Gastroenterology","Journal of Crohn's &colitis"
"J Cross Cult Gerontol","Geriatrics","Journal of cross-cultural gerontology"
"J Cult Divers","Nursing","Journal of cultural diversity"
"J Cutan Med Surg","Medicine","Journal of cutaneous medicine and surgery"
"J Cutan Pathol","Dermatology","Journal of cutaneous pathology"
"J Cyst Fibros","Pulmonary Medicine","Journal of cystic fibrosis : official journal of the European Cystic Fibrosis Society"
"J Dairy Res","Veterinary Medicine","The Journal of dairy research"
"J Dairy Sci","Veterinary Medicine","Journal of dairy science"
"J Dance Med Sci","Medicine","Journal of dance medicine &science : official publication of the International Association for Dance Medicine &Science"
"J Deaf Stud Deaf Educ","Unclassified","Journal of deaf studies and deaf education"
"J Dent","Dentistry","Journal of dentistry"
"J Dent Child (Chic)","Dentistry","Journal of dentistry for children (Chicago, Ill.)"
"J Dent Educ","Dentistry","Journal of dental education"
"J Dent Hyg","Dentistry","Journal of dental hygiene : JDH / American Dental Hygienists' Association"
"J Dermatol","Dermatology","The Journal of dermatology"
"J Dermatol Sci","Dermatology","Journal of dermatological science"
"J Dermatolog Treat","Dermatology","The Journal of dermatological treatment"
"J Dev Behav Pediatr","Pediatrics","Journal of developmental and behavioral pediatrics : JDBP"
"J Diabetes","Endocrinology","Journal of diabetes"
"J Diabetes Investig","Endocrinology","Journal of diabetes investigation"
"J Diabetes Res","Endocrinology","Journal of diabetes research"
"J Diabetes Sci Technol","Endocrinology","Journal of diabetes science and technology"
"J Diet Suppl","Nutritional Sciences","Journal of dietary supplements"
"J Dig Dis","Gastroenterology","Journal of digestive diseases"
"J Digit Imaging","Unclassified","Journal of digital imaging"
"J Drug Educ","Substance-Related Disorders","Journal of drug education"
"J Drug Target","Pharmacology","Journal of drug targeting"
"J Drugs Dermatol","Dermatology","Journal of drugs in dermatology : JDD"
"J Dtsch Dermatol Ges","Dermatology","Journal der Deutschen Dermatologischen Gesellschaft = Journal of the German Society of Dermatology : JDDG"
"J Echocardiogr","Cardiology","Journal of echocardiography"
"J Econ Entomol","Zoology","Journal of economic entomology"
"J ECT","Unclassified","The journal of ECT"
"J Egypt Natl Canc Inst","Neoplasms","Journal of the Egyptian National Cancer Institute"
"J Egypt Public Health Assoc","Public Health","The Journal of the Egyptian Public Health Association"
"J Egypt Soc Parasitol","Parasitology","Journal of the Egyptian Society of Parasitology"
"J Elder Abuse Negl","Geriatrics","Journal of elder abuse &neglect"
"J Electrocardiol","Cardiology","Journal of electrocardiology"
"J Electromyogr Kinesiol","Physiology","Journal of electromyography and kinesiology : official journal of the International Society of Electrophysiological Kinesiology"
"J Electron Microsc (Tokyo)","Diagnostic Imaging","Journal of electron microscopy"
"J Emerg Manag","Unclassified","Journal of emergency management (Weston, Mass.)"
"J Emerg Med","Medicine","The Journal of emergency medicine"
"J Emerg Nurs","Nursing","Journal of emergency nursing: JEN : official publication of the Emergency Department Nurses Association"
"J Empir Res Hum Res Ethics","Ethics","Journal of empirical research on human research ethics : JERHRE"
"J Endocrinol","Endocrinology","The Journal of endocrinology"
"J Endod","Dentistry","Journal of endodontia"
"J Endod","Dentistry","Journal of endodontics"
"J Endotoxin Res","Unclassified","Journal of endotoxin research"
"J Endourol","Urology","Journal of endourology / Endourological Society"
"J Endovasc Ther","Vascular Diseases","Journal of endovascular therapy : an official journal of the International Society of Endovascular Specialists"
"J Environ Biol","Toxicology","Journal of environmental biology / Academy of Environmental Biology, India"
"J Environ Health","Environmental Health","Journal of environmental health"
"J Environ Manage","Environmental Health","Journal of environmental management"
"J Environ Monit","Environmental Health","Journal of environmental monitoring : JEM"
"J Environ Pathol Toxicol Oncol","Neoplasms","Journal of environmental pathology, toxicology and oncology : official organ of the International Society for Environmental Toxicology and Cancer"
"J Environ Public Health","Public Health","Journal of environmental and public health"
"J Environ Qual","Environmental Health","Journal of environmental quality"
"J Environ Radioact","Environmental Health","Journal of environmental radioactivity"
"J Environ Sci (China)","Environmental Health","Journal of environmental sciences (China)"
"J Environ Sci Eng","Environmental Health","Journal of environmental science &engineering"
"J Environ Sci Health A Tox Hazard Subst Environ Eng","Toxicology","Journal of environmental science and health. Part A, Toxic/hazardous substances &environmental engineering"
"J Environ Sci Health","Environmental Health","Journal of environmental science and health. Part. B, Pesticides, food contaminants, and agricultural wastes"
"J Environ Sci Health","Environmental Health","Journal of environmental science and health. Part C: Environmental health sciences"
"J Environ Sci Health C Environ Carcinog Ecotoxicol Rev","Environmental Health","Journal of environmental science and health. Part C, Environmental carcinogenesis &ecotoxicology reviews"
"J Enzyme Inhib Med Chem","Medicine","Journal of enzyme inhibition and medicinal chemistry"
"J Epidemiol","Epidemiology","Journal of epidemiology / Japan Epidemiological Association"
"J Epidemiol Community Health","Epidemiology","Journal of epidemiology and community health"
"J Epidemiol Community Health","Epidemiology","Journal of epidemiology and community health"
"J Epidemiol Glob Health","Public Health","Journal of epidemiology and global health"
"J Esthet Restor Dent","Dentistry","Journal of esthetic and restorative dentistry : official publication of the American Academy of Esthetic Dentistry ... [et al.]"
"J Ethn Subst Abuse","Unclassified","Journal of ethnicity in substance abuse"
"J Ethnobiol Ethnomed","Anthropology","Journal of ethnobiology and ethnomedicine"
"J Ethnopharmacol","Pharmacology","Journal of ethnopharmacology"
"J Eukaryot Microbiol","Microbiology","The Journal of eukaryotic microbiology"
"J Eval Clin Pract","Health Services Research","Journal of evaluation in clinical practice"
"J Evid Based Dent Pract","Dentistry","The journal of evidence-based dental practice"
"J Evid Based Med","Medicine","Journal of evidence-based medicine"
"J Evid Based Soc Work","Social Sciences","Journal of evidence-based social work"
"J Evol Biol","Biology","Journal of evolutionary biology"
"J Exp Anal Behav","Behavioral Sciences","Journal of the experimental analysis of behavior"
"J Exp Biol","Biology","The Journal of experimental biology"
"J Exp Bot","Botany","Journal of experimental botany"
"J Exp Child Psychol","Psychology","Journal of experimental child psychology"
"J Exp Clin Cancer Res","Neoplasms","Journal of experimental &clinical cancer research : CR"
"J Exp Med","Medicine","The Journal of experimental medicine"
"J Exp Psychol Anim Behav Process","Psychology","Journal of experimental psychology. Animal behavior processes"
"J Exp Psychol Anim Learn Cogn","Psychology","Journal of experimental psychology. Animal learning and cognition"
"J Exp Psychol Appl","Psychology","Journal of experimental psychology. Applied"
"J Exp Psychol Gen","Psychology","Journal of experimental psychology. General"
"J Exp Psychol Hum Percept Perform","Psychology","Journal of experimental psychology. Human perception and performance"
"J Exp Psychol Learn Mem Cogn","Psychology","Journal of experimental psychology. Learning, memory, and cognition"
"J Exp Ther Oncol","Neoplasms","Journal of experimental therapeutics &oncology"
"J Exp Zool","Biology","The Journal of experimental zoology"
"J Exp Zool A Ecol Genet Physiol","Genetics","Journal of experimental zoology. Part A, Ecological genetics and physiology"
"J Exp Zool B Mol Dev Evol","Biology","Journal of experimental zoology. Part B, Molecular and developmental evolution"
"J Expo Anal Environ Epidemiol","Unclassified","Journal of exposure analysis and environmental epidemiology"
"J Expo Sci Environ Epidemiol","Unclassified","Journal of exposure science &environmental epidemiology"
"J Extra Corpor Technol","Unclassified","The journal of extra-corporeal technology"
"J Fam Health Care","Medicine","The journal of family health care"
"J Fam Nurs","Nursing","Journal of family nursing"
"J Fam Plann Reprod Health Care","Reproductive Medicine","The journal of family planning and reproductive health care / Faculty of Family Planning &Reproductive Health Care, Royal College of Obstetricians &Gynaecologists"
"J Fam Pract","Primary Health Care","The Journal of family practice"
"J Fam Psychol","Psychology","Journal of family psychology : JFP : journal of the Division of Family Psychology of the American Psychological Association (Division 43)"
"J Feline Med Surg","Medicine","Journal of feline medicine and surgery"
"J Fluency Disord","Speech-Language Pathology","Journal of fluency disorders"
"J Fluoresc","Unclassified","Journal of fluorescence"
"J Food Prot","Nutritional Sciences","Journal of food protection"
"J Food Sci","Nutritional Sciences","Journal of food science"
"J Foot Ankle Surg","General Surgery","The Journal of foot and ankle surgery : official publication of the American College of Foot and Ankle Surgeons"
"J Forensic Leg Med","Medicine","Journal of forensic and legal medicine"
"J Forensic Nurs","Nursing","Journal of forensic nursing"
"J Forensic Sci","Jurisprudence","Journal of forensic sciences"
"J Formos Med Assoc","Medicine","Journal of the Formosan Medical Association = Taiwan yi zhi"
"J Gambl Stud","Psychology","Journal of gambling studies / co-sponsored by the National Council on Problem Gambling and Institute for the Study of Gambling and Commercial Gaming"
"J Gastroenterol","Gastroenterology","Journal of gastroenterology"
"J Gastroenterol Hepatol","Gastroenterology","Journal of gastroenterology and hepatology"
"J Gastrointest Cancer","Neoplasms","Journal of gastrointestinal cancer"
"J Gastrointest Surg","General Surgery","Journal of gastrointestinal surgery : official journal of the Society for Surgery of the Alimentary Tract"
"J Gastrointestin Liver Dis","Gastroenterology","Journal of gastrointestinal and liver diseases : JGLD"
"J Gen Appl Microbiol","Microbiology","The Journal of general and applied microbiology"
"J Gen Intern Med","Medicine","Journal of general internal medicine"
"J Gen Physiol","Physiology","The Journal of general physiology"
"J Gen Psychol","Psychology","The Journal of general psychology"
"J Gen Virol","Virology","The Journal of general virology"
"J Gene Med","Medicine","The journal of gene medicine"
"J Genet","Genetics","Journal of genetics"
"J Genet Couns","Genetics","Journal of genetic counseling"
"J Genet Genomics","Genetics","Journal of genetics and genomics = Yi chuan xue bao"
"J Genet Psychol","Genetics","The Journal of genetic psychology"
"J Geriatr Oncol","Neoplasms","Journal of geriatric oncology"
"J Geriatr Phys Ther","Unclassified","Journal of geriatric physical therapy (2001)"
"J Geriatr Psychiatry Neurol","Psychiatry","Journal of geriatric psychiatry and neurology"
"J Gerontol A Biol Sci Med Sci","Medicine","The journals of gerontology. Series A, Biological sciences and medical sciences"
"J Gerontol B Psychol Sci Soc Sci","Psychology","The journals of gerontology. Series B, Psychological sciences and social sciences"
"J Gerontol Nurs","Nursing","Journal of gerontological nursing"
"J Gerontol Soc Work","Geriatrics","Journal of gerontological social work"
"J Glaucoma","Ophthalmology","Journal of glaucoma"
"J Glob Health","Medicine","Journal of global health"
"J Grad Med Educ","Medicine","Journal of graduate medical education"
"J Gravit Physiol","Physiology","Journal of gravitational physiology : a journal of the International Society for Gravitational Physiology"
"J Gynecol Oncol","Gynecology","Journal of gynecologic oncology"
"J Hand Surg Am","General Surgery","The Journal of hand surgery"
"J Hand Surg Eur Vol","General Surgery","The Journal of hand surgery, European volume"
"J Hand Ther","Physical and Rehabilitation Medicine","Journal of hand therapy : official journal of the American Society of Hand Therapists"
"J Hazard Mater","Environmental Health","Journal of hazardous materials"
"J Head Trauma Rehabil","Traumatology","The Journal of head trauma rehabilitation"
"J Headache Pain","Medicine","The journal of headache and pain"
"J Health Adm Educ","Medicine","The Journal of health administration education"
"J Health Care Chaplain","Hospitals","Journal of health care chaplaincy"
"J Health Care Finance","Health Services","Journal of health care finance"
"J Health Care Poor Underserved","Health Services","Journal of health care for the poor and underserved"
"J Health Commun","Health Services","Journal of health communication"
"J Health Econ","Medicine","Journal of health economics"
"J Health Hum Serv Adm","Medicine","Journal of health and human services administration"
"J Health Law","Medicine","Journal of health law"
"J Health Organ Manag","Health Services","Journal of health organization and management"
"J Health Polit Policy Law","Health Services","Journal of health politics, policy and law"
"J Health Popul Nutr","Nutritional Sciences","Journal of health, population, and nutrition"
"J Health Psychol","Psychology","Journal of health psychology"
"J Health Serv Res Policy","Health Services Research","Journal of health services research &policy"
"J Health Soc Behav","Behavioral Sciences","Journal of health and social behavior"
"J Health Soc Policy","Public Health","Journal of health &social policy"
"J Healthc Inf Manag","Medicine","Journal of healthcare information management : JHIM"
"J Healthc Manag","Medicine","Journal of healthcare management / American College of Healthcare Executives"
"J Healthc Prot Manage","Medicine","Journal of healthcare protection management : publication of the International Association for Hospital Security"
"J Healthc Qual","Health Services Research","Journal for healthcare quality : official publication of the National Association for Healthcare Quality"
"J Healthc Risk Manag","Medicine","Journal of healthcare risk management : the journal of the American Society for Healthcare Risk Management"
"J Heart Lung Transplant","Cardiology","The Journal of heart and lung transplantation : the official publication of the International Society for Heart Transplantation"
"J Hematol Oncol","Neoplasms","Journal of hematology &oncology"
"J Hematother Stem Cell Res","Cell Biology","Journal of hematotherapy &stem cell research"
"J Hepatobiliary Pancreat Sci","Gastroenterology","Journal of hepato-biliary-pancreatic sciences"
"J Hepatobiliary Pancreat Surg","General Surgery","Journal of hepato-biliary-pancreatic surgery"
"J Hepatol","Gastroenterology","Journal of hepatology"
"J Herb Pharmacother","Pharmacology","Journal of herbal pharmacotherapy"
"J Hered","Genetics","The Journal of heredity"
"J Hist Behav Sci","Psychiatry","Journal of the history of the behavioral sciences"
"J Hist Biol","Biology","Journal of the history of biology"
"J Hist Dent","Dentistry","Journal of the history of dentistry"
"J Hist Med Allied Sci","Medicine","Journal of the history of medicine and allied sciences"
"J Hist Neurosci","Neurology","Journal of the history of the neurosciences"
"J Histochem Cytochem","Cell Biology","The journal of histochemistry and cytochemistry : official journal of the Histochemistry Society"
"J HIV Ther","AIDS","Journal of HIV therapy"
"J Holist Nurs","Nursing","Journal of holistic nursing : official journal of the American Holistic Nurses' Association"
"J Homosex","Behavioral Sciences","Journal of homosexuality"
"J Hosp Med","Medicine","Journal of hospital medicine"
"J Hum Ergol (Tokyo)","Psychology","Journal of human ergology"
"J Hum Evol","Anthropology","Journal of human evolution"
"J Hum Genet","Genetics","Journal of human genetics"
"J Hum Lact","Unclassified","Journal of human lactation : official journal of International Lactation Consultant Association"
"J Huntingtons Dis","Neurology","Journal of Huntington's disease"
"J Hypertens","Vascular Diseases","Journal of hypertension"
"J Hypertens Suppl","Vascular Diseases","Journal of hypertension. Supplement : official journal of the International Society of Hypertension"
"J Immigr Minor Health","Medicine","Journal of immigrant and minority health / Center for Minority Public Health"
"J Immunoassay Immunochem","Allergy and Immunology","Journal of immunoassay &immunochemistry"
"J Immunol","Immunology","Journal of immunology (Baltimore, Md. : 1950)"
"J Immunol Methods","Immunology","Journal of immunological methods"
"J Immunol Res","Immunology","Journal of immunology research"
"J Immunother","Allergy and Immunology","Journal of immunotherapy (Hagerstown, Md. : 1997)"
"J Immunotoxicol","Allergy and Immunology","Journal of immunotoxicology"
"J Ind Microbiol Biotechnol","Biotechnology","Journal of industrial microbiology &biotechnology"
"J Indian Med Assoc","Medicine","Journal of the Indian Medical Association"
"J Indian Soc Pedod Prev Dent","Dentistry","Journal of the Indian Society of Pedodontics and Preventive Dentistry"
"J Indiana Dent Assoc","Dentistry","Journal (Indiana Dental Association)"
"J Indiana Dent Assoc","Dentistry","The Journal of the Indiana Dental Association"
"J Infect","Communicable Diseases","The Journal of infection"
"J Infect Chemother","Drug Therapy","Journal of infection and chemotherapy : official journal of the Japan Society of Chemotherapy"
"J Infect Dev Ctries","Communicable Diseases","Journal of infection in developing countries"
"J Infect Dis","Communicable Diseases","The Journal of infectious diseases"
"J Infect Public Health","Public Health","Journal of infection and public health"
"J Infus Nurs","Nursing","Journal of infusion nursing : the official publication of the Infusion Nurses Society"
"J Inherit Metab Dis","Metabolism","Journal of inherited metabolic disease"
"J Inj Violence Res","Traumatology","Journal of injury &violence research"
"J Innate Immun","Allergy and Immunology","Journal of innate immunity"
"J Inorg Biochem","Biochemistry","Journal of inorganic biochemistry"
"J Insect Physiol","Physiology","Journal of insect physiology"
"J Insect Sci","Zoology","Journal of insect science (Online)"
"J Insur Med","Medicine","Journal of insurance medicine"
"J Insur Med","Medicine","Journal of insurance medicine (New York, N.Y.)"
"J Int Acad Periodontol","Dentistry","Journal of the International Academy of Periodontology"
"J Int AIDS Soc","AIDS","Journal of the International AIDS Society"
"J Int Assoc Physicians AIDS Care (Chic)","AIDS","Journal of the International Association of Physicians in AIDS Care (Chicago, Ill. : 2002)"
"J Int Assoc Provid AIDS Care","AIDS","Journal of the International Association of Providers of AIDS Care"
"J Int Bioethique","Ethics","Journal international de bioéthique = International journal of bioethics"
"J Int Med Res","Medicine","The Journal of international medical research"
"J Int Neuropsychol Soc","Neurology","Journal of the International Neuropsychological Society : JINS"
"J Int Soc Sports Nutr","Nutritional Sciences","Journal of the International Society of Sports Nutrition"
"J Integr Bioinform","Bioinformatics","Journal of integrative bioinformatics"
"J Integr Med","Medicine","Journal of integrative medicine"
"J Integr Neurosci","Neurology","Journal of integrative neuroscience"
"J Integr Plant Biol","Botany","Journal of integrative plant biology"
"J Intellect Dev Disabil","Psychiatry","Journal of intellectual &developmental disability"
"J Intellect Disabil","Psychiatry","Journal of intellectual disabilities : JOID"
"J Intensive Care Med","Medicine","Journal of intensive care medicine"
"J Interferon Cytokine Res","Allergy and Immunology","Journal of interferon &cytokine research : the official journal of the International Society for Interferon and Cytokine Research"
"J Interpers Violence","Social Sciences","Journal of interpersonal violence"
"J Interprof Care","Health Services","Journal of interprofessional care"
"J Interv Card Electrophysiol","Cardiology","Journal of interventional cardiac electrophysiology : an international journal of arrhythmias and pacing"
"J Interv Cardiol","Cardiology","Journal of interventional cardiology"
"J Invasive Cardiol","Cardiology","The Journal of invasive cardiology"
"J Invertebr Pathol","Zoology","Journal of invertebrate pathology"
"J Invest Dermatol","Dermatology","The Journal of investigative dermatology"
"J Invest Surg","General Surgery","Journal of investigative surgery : the official journal of the Academy of Surgical Research"
"J Investig Clin Dent","Dentistry","Journal of investigative and clinical dentistry"
